[2023-10-08 20:41:47,961] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -746 > -750, VW_15_V_Aim en WO_55_V_Han zijn hiervoor gewisseld.
[2023-10-08 20:41:49,529] *kook_gang_optimizer* Bij iteratie: 36, Nieuwe oplossing score van: -727 > -746, VW_13 en WO_7 zijn hiervoor gewisseld.
[2023-10-08 20:41:50,216] *eet_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -721 > -727, WO_32a_V_Gem en WO_81_V_Jan zijn hiervoor gewisseld.
[2023-10-08 20:41:50,349] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -712 > -721, WO_49_M_Joo en WO_51_V_Dia zijn hiervoor gewisseld.
[2023-10-08 20:41:50,967] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -707 > -712, VW_13 en WO_71 zijn hiervoor gewisseld.
[2023-10-08 20:41:51,168] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -706 > -707, WO_75_V_Deb en WO_85_M_Wil zijn hiervoor gewisseld.
[2023-10-08 20:41:51,917] *eet_gang_optimizer* Bij iteratie: 19, Nieuwe oplossing score van: -702 > -706, WO_41_V_Ann en WO_85_V_Fem zijn hiervoor gewisseld.
[2023-10-08 20:41:52,453] *eet_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -696 > -702, VW_6_V_Len en WO_51_M_Jan zijn hiervoor gewisseld.
[2023-10-08 20:41:52,544] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -684 > -696, VW_43_V_Sjo en WO_20_V_Ast zijn hiervoor gewisseld.
[2023-10-08 20:41:53,230] *eet_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -677 > -684, WO_20_V_Ast en WO_9_M_Phi zijn hiervoor gewisseld.
[2023-10-08 20:41:56,288] *kook_gang_optimizer* Bij iteratie: 81, Nieuwe oplossing score van: -672 > -677, WO_61 en WO_7 zijn hiervoor gewisseld.
[2023-10-08 20:41:56,775] *eet_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -660 > -672, VW_43_M_Mar en VW_72_V_Len zijn hiervoor gewisseld.
[2023-10-08 20:41:56,937] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -648 > -660, VW_33_V_Tru en WO_24_V_Jea zijn hiervoor gewisseld.
[2023-10-08 20:41:57,387] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -646 > -648, WO_32a_V_Gem en WO_45_V_Kar zijn hiervoor gewisseld.
[2023-10-08 20:41:57,588] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -637 > -646, VW_5_V_Jud en VW_9_V_Rie zijn hiervoor gewisseld.
[2023-10-08 20:41:58,202] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -633 > -637, VW_9 en WO_38 zijn hiervoor gewisseld.
[2023-10-08 20:41:58,257] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -625 > -633, NEW_3_V_Mel en WO_77_M_Twa zijn hiervoor gewisseld.
[2023-10-08 20:41:58,888] *eet_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -613 > -625, VW_27_M_Rob en VW_70_V_Cha zijn hiervoor gewisseld.
[2023-10-08 20:41:58,942] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -607 > -613, WO_36_M_Hui en WO_49_M_Joo zijn hiervoor gewisseld.
[2023-10-08 20:41:59,411] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -602 > -607, VW_68_V_Mar en WO_69_M_Han zijn hiervoor gewisseld.
[2023-10-08 20:42:00,400] *eet_gang_optimizer* Bij iteratie: 26, Nieuwe oplossing score van: -596 > -602, WO_27_V_Mar en WO_69_V_Ant zijn hiervoor gewisseld.
[2023-10-08 20:42:00,849] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -589 > -596, VW_9_M_Rob en WO_24_M_Ray zijn hiervoor gewisseld.
[2023-10-08 20:42:02,211] *kook_gang_optimizer* Bij iteratie: 34, Nieuwe oplossing score van: -583 > -589, WO_32 en WO_79 zijn hiervoor gewisseld.
