[2023-10-08 18:50:45,783] *kook_gang_optimizer* Bij iteratie: 8, Nieuwe oplossing score van: -628 > -652, VW_35 en VW_70 zijn hiervoor gewisseld.
[2023-10-08 18:50:46,507] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -626 > -628, VW_32_M_Mic en VW_33_V_Tru zijn hiervoor gewisseld.
[2023-10-08 18:50:47,090] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -620 > -626, VW_13_M_Mar en WO_50_M_Fli zijn hiervoor gewisseld.
[2023-10-08 18:50:47,227] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -606 > -620, WO_49_V_Van en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 18:50:48,857] *eet_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -600 > -606, WO_38_M_Jaa en WO_40_V_Mar zijn hiervoor gewisseld.
[2023-10-08 18:50:49,423] *kook_gang_optimizer* Bij iteratie: 14, Nieuwe oplossing score van: -581 > -600, VW_15 en VW_3 zijn hiervoor gewisseld.
[2023-10-08 18:50:49,476] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -575 > -581, WO_16 en WO_52 zijn hiervoor gewisseld.
[2023-10-08 18:50:49,860] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -570 > -575, VW_23 en WO_33 zijn hiervoor gewisseld.
[2023-10-08 18:50:50,988] *kook_gang_optimizer* Bij iteratie: 29, Nieuwe oplossing score van: -568 > -570, VW_13 en WO_79 zijn hiervoor gewisseld.
[2023-10-08 18:50:51,367] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -555 > -568, VW_62_V_Ale en WO_24_M_Ray zijn hiervoor gewisseld.
[2023-10-08 18:50:51,964] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -530 > -555, WO_45_V_Kar en WO_61_M_Ren zijn hiervoor gewisseld.
[2023-10-08 18:50:52,796] *kook_gang_optimizer* Bij iteratie: 21, Nieuwe oplossing score van: -506 > -530, VW_27 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 18:50:52,855] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -504 > -506, VW_31_V_Jan en WO_26_M_Rod zijn hiervoor gewisseld.
[2023-10-08 18:50:53,566] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -502 > -504, VW_15_M_Ger en WO_23_V_Mon zijn hiervoor gewisseld.
[2023-10-08 18:50:54,181] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -490 > -502, VW_18 en VW_72 zijn hiervoor gewisseld.
[2023-10-08 18:50:54,858] *kook_gang_optimizer* Bij iteratie: 17, Nieuwe oplossing score van: -484 > -490, WO_69 en WO_7 zijn hiervoor gewisseld.
[2023-10-08 18:50:56,061] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -474 > -484, WO_26_V_Ver en WO_36_M_Hui zijn hiervoor gewisseld.
[2023-10-08 18:50:56,889] *eet_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -471 > -474, VW_68_M_Chr en WO_81_M_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:56,943] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -466 > -471, VW_13_M_Mar en VW_33_V_Het zijn hiervoor gewisseld.
[2023-10-08 18:50:57,003] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -465 > -466, NEW_1_M_Erw en VW_31_M_Pau zijn hiervoor gewisseld.
[2023-10-08 18:50:57,060] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -457 > -465, VW_15_M_Ger en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 18:50:57,468] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -451 > -457, VW_70_M_Bas en WO_81_V_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:57,597] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -443 > -451, VW_70 en WO_41 zijn hiervoor gewisseld.
[2023-10-08 18:50:57,799] *kook_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -433 > -443, VW_18 en WO_87 zijn hiervoor gewisseld.
[2023-10-08 18:50:58,595] *kook_gang_optimizer* Bij iteratie: 20, Nieuwe oplossing score van: -429 > -433, WO_24 en WO_77 zijn hiervoor gewisseld.
[2023-10-08 18:50:58,654] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -423 > -429, VW_12_M_Pet en WO_13_M_Lau zijn hiervoor gewisseld.
[2023-10-08 18:50:59,398] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -422 > -423, VW_31_M_Pau en VW_57_M_Lou zijn hiervoor gewisseld.
