[2023-10-08 22:22:59,248] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -808 > -811, WO_26 en WO_53 zijn hiervoor gewisseld.
[2023-10-08 22:23:01,533] *kook_gang_optimizer* Bij iteratie: 42, Nieuwe oplossing score van: -803 > -808, VW_32 en VW_8 zijn hiervoor gewisseld.
[2023-10-08 22:23:03,091] *eet_gang_optimizer* Bij iteratie: 30, Nieuwe oplossing score van: -787 > -803, VW_18_M_Mic en WO_71_V_Mar zijn hiervoor gewisseld.
[2023-10-08 22:23:04,900] *kook_gang_optimizer* Bij iteratie: 37, Nieuwe oplossing score van: -775 > -787, VW_32 en WO_13 zijn hiervoor gewisseld.
[2023-10-08 22:23:05,234] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -774 > -775, VW_3_M_Huu en WO_85_M_Wil zijn hiervoor gewisseld.
[2023-10-08 22:23:05,397] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -762 > -774, VW_33_V_Tru en WO_7_V_Mon zijn hiervoor gewisseld.
[2023-10-08 22:23:10,907] *kook_gang_optimizer* Bij iteratie: 87, Nieuwe oplossing score van: -755 > -762, VW_3 en VW_5 zijn hiervoor gewisseld.
[2023-10-08 22:23:11,076] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -748 > -755, VW_3_M_Huu en WO_38_V_Eek zijn hiervoor gewisseld.
[2023-10-08 22:23:11,737] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -736 > -748, VW_35_V_Ros en WO_38_V_Eek zijn hiervoor gewisseld.
[2023-10-08 22:23:12,835] *kook_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -728 > -736, VW_5 en WO_13 zijn hiervoor gewisseld.
[2023-10-08 22:23:13,247] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -726 > -728, VW_32 en WO_32 zijn hiervoor gewisseld.
[2023-10-08 22:23:14,075] *kook_gang_optimizer* Bij iteratie: 17, Nieuwe oplossing score van: -720 > -726, WO_69 en WO_75 zijn hiervoor gewisseld.
[2023-10-08 22:23:14,132] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -718 > -720, WO_85_V_Fem en WO_87_V_Mad zijn hiervoor gewisseld.
[2023-10-08 22:23:18,437] *kook_gang_optimizer* Bij iteratie: 80, Nieuwe oplossing score van: -716 > -718, VW_46 en WO_77 zijn hiervoor gewisseld.
[2023-10-08 22:23:19,990] *kook_gang_optimizer* Bij iteratie: 20, Nieuwe oplossing score van: -707 > -716, VW_32 en WO_24 zijn hiervoor gewisseld.
[2023-10-08 22:23:20,368] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -699 > -707, VW_15_M_Ger en WO_38_M_Jaa zijn hiervoor gewisseld.
[2023-10-08 22:23:21,274] *eet_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -693 > -699, VW_23_V_Ils en VW_39_V_Ann zijn hiervoor gewisseld.
[2023-10-08 22:23:22,755] *eet_gang_optimizer* Bij iteratie: 18, Nieuwe oplossing score van: -675 > -693, VW_32_M_Mic en WO_41_M_Wim zijn hiervoor gewisseld.
[2023-10-08 22:23:23,420] *kook_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -670 > -675, WO_1 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 22:23:23,530] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -664 > -670, NEW_3_V_Mel en VW_35_V_Ros zijn hiervoor gewisseld.
[2023-10-08 22:23:24,201] *kook_gang_optimizer* Bij iteratie: 8, Nieuwe oplossing score van: -659 > -664, VW_25 en WO_36 zijn hiervoor gewisseld.
[2023-10-08 22:23:24,869] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -658 > -659, WO_13 en WO_77 zijn hiervoor gewisseld.
[2023-10-08 22:23:32,290] *kook_gang_optimizer* Bij iteratie: 85, Nieuwe oplossing score van: -647 > -658, VW_13 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 22:23:34,423] *kook_gang_optimizer* Bij iteratie: 44, Nieuwe oplossing score van: -644 > -647, VW_21 en WO_1 zijn hiervoor gewisseld.
[2023-10-08 22:23:35,667] *eet_gang_optimizer* Bij iteratie: 28, Nieuwe oplossing score van: -639 > -644, WO_16_V_Lie en WO_87_V_Mad zijn hiervoor gewisseld.
[2023-10-08 22:23:36,126] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -632 > -639, VW_23 en VW_70 zijn hiervoor gewisseld.
[2023-10-08 22:23:36,181] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -624 > -632, WO_1 en WO_13 zijn hiervoor gewisseld.
[2023-10-08 22:23:39,576] *kook_gang_optimizer* Bij iteratie: 74, Nieuwe oplossing score van: -615 > -624, VW_21 en WO_61 zijn hiervoor gewisseld.
[2023-10-08 22:23:40,867] *eet_gang_optimizer* Bij iteratie: 29, Nieuwe oplossing score van: -602 > -615, WO_32_M_Ber en WO_75_M_Jur zijn hiervoor gewisseld.
[2023-10-08 22:23:41,124] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -584 > -602, VW_27_M_Luc en VW_9_M_Rob zijn hiervoor gewisseld.
[2023-10-08 22:23:41,183] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -578 > -584, VW_68_V_Mar en WO_1_V_Bir zijn hiervoor gewisseld.
